aback	by surprise
abase	to lower in rank, prestige, or esteem
abate	to reduce in amount, degree, or intensity; lessen
abdicate	to relinquish (power or responsibility) formally
aberrant	straying from the right or normal way
abet	to approve, encourage, and support (an action or a plan of action); urge and help on
abeyance	a state of temporary activity : suspension; a lapse in succession during which there is no person in whom a title is vested
abhor	to regard with horror or loathing; abominate
abhorrent	not agreeable, contrary
abject	brought low in condition or status; being of the most contemptible kind
abjure	to renounce under oath; forswear; recant solemnly; repudiate
abolish	to do away with; annul; destroy completely
abominate	to detest thoroughly; abhor
aboriginal	having existed in a region from the beginning
abridge	to reduce the length of (a written text); condense; cut short; curtail
abrogate	to abolish, do away with, or annul, especially by authority
absolve	to pronounce clear of guilt or blame; relieve of a requirement or an obligation
abstain	to refrain from something by one's own choice
abstemious	eating and drinking in moderation; sparingly used or consumed
abstention	the act or habit of deliberate self-denial
abstinence	the act or practice of refraining from indulging an appetite, as for food
abstract	considered apart from concrete existence; not applied or practical; theoretical; difficult to understand; abstruse
abstruse	difficult to understand; recondite
absurd	ridiculously incongruous or unreasonable
abulia	loss or impairment of the ability to make decisions or act independently
abysmal	unfathomable; very profound; limitless; very bad
abyss	an unfathomable chasm; a yawning gulf; an immeasurably profound depth or void
accede	to give one's consent, often at the insistence of another; concede
accentuate	stress or emphasize; intensify
accolade	an expression of approval; praise. b. A special acknowledgment; an award
accomplice	one who aids or abets a lawbreaker in a criminal act, either as a principal or an accessory
accost	to approach and speak to in an aggressive, hostile, or sexually suggestive manner
acme	the highest point, as of perfection
acquiesce	to consent or comply passively or without protest
acquisitive	characterized by a strong desire to gain and possess; tending to acquire and retain ideas or information
acquit	to free or clear from a charge or accusation
acrid	unpleasantly sharp, pungent, or bitter to the taste or smell; caustic in language or tone
acrimony	bitter, sharp, ill-natured animosity, especially as it is exhibited in speech or behavior
actualize	to realize in action or make real
actus reus	Latin term used to describe a crime. It means guilty act.
acuity	acuteness of vision or perception; keenness
ad hoc	fashioned from whatever is immediately available : improvised; formed or used for specific or immediate problems or needs
ad hominem	appealing to personal considerations rather than to logic or reason
ad infinitum	to infinity; having no end
ad lib	in an unrestrained manner; spontaneously
ad nauseam	to a disgusting or ridiculous degree; to the point of nausea
adage	a saying that sets forth a general truth and that has gained credit through long use
adamant	impervious to pleas, appeals, or reason; stubbornly unyielding
adjourn	to suspend until a later stated time
adjudicate	to hear and settle (a case) by judicial procedure
adjunct	something attached to another in a dependent or subordinate position
admonish	to reprove gently but earnestly; to counsel (another) against something to be avoided; caution
ado	bustle; fuss; trouble; bother
adorn	lend beauty to; decorate
adroit	skillful and adept under pressing conditions; dexterous; deft
adulate	to praise or admire excessively; fawn on
adumbrate	to give a sketchy outline of; to disclose partially or guardedly
adust	scorched, burned
adversarial	relating to or characteristic of an adversary; involving antagonistic elements
adverse	acting or serving to oppose; antagonistic; contrary to one's interests or welfare; harmful or unfavorable
advocate	to speak, plead, or argue in favor of
aegis	protection; sponsorship; patronage
aesthetic	of or concerning the appreciation of beauty or good taste; characterized by a heightened sensitivity to beauty; artistic
aesthetics	an artistically beautiful or pleasing appearance
affable	easy and pleasant to speak to; approachable; gentle and gracious
affinity	a natural attraction or feeling of kinship; relationship by marriage; an inherent similarity between persons or things
afire	on fire; intensely interested
agglomerate	a confused or jumbled mass; a heap
aggregate	constituting or amounting to a whole; a total considered with reference to its constituent parts; a gross amount
aghast	struck by shock, terror, or amazement
agnostic	one who believes that there can be no proof of the existence of God but does not deny the possibility that God exists
agon	 a test of will; a conflict, especially between the protagonist and antagonist in a work of literature
ahem	used to attract attention or to express doubt or warning
akin	of the same kin; related by blood; having a similar quality or character; analogous
alacrity	cheerful willingness; eagerness; speed or quickness; celerity
alcove	a recess or partly enclosed extension connected to or forming part of a room; a secluded structure, such as a bower, in a garden
alibi	the fact of having been elsewhere when a crime in question was committed
allay	to reduce the intensity of; relieve; to calm or pacify; set to rest
allegation	a positive assertion especially of misconduct
allege	to assert to be true; affirm; to assert without or before proof
allegory	a literary, dramatic, or pictorial device in which characters and events stand for abstract ideas, principles, or forces; a symbolic represe
alleviate	make (pain, for example) more bearable
aloof	distant physically or emotionally; reserved and remote
alpha	first letter of the Greek alphabet; the first one; the beginning
altruism	unselfish concern for the welfare of others; selflessness
amalgamate	to combine into a unified or integrated whole; unite
ambiance	the special atmosphere or mood created by a particular environment
ambient	surrounding; encircling
ambiguous	open to more than one interpretation; doubtful or uncertain
ambition	an eager or strong desire to achieve something, such as fame or power
ambitious	greatly desirous; eager; requiring or showing much effort; challenging
ambivalence	the coexistence of opposing attitudes or feelings, such as love and hate; uncertainty or indecisiveness as to which course to follow
amble	walk slowly or leisurely; stroll
ambrosia	the food of the gods, thought to confer immortality; something with an especially delicious flavor or fragrance; a dessert containing primar
ambulatory	adapted for walking
ameliorate	to make or become better; improve
amenable	responsive to advice, authority, or suggestion; tractable
amerce	to punish by imposing an arbitrary penalty
amiable	friendly and agreeable in disposition; good-natured and likable
amicable	characterized by or exhibiting friendliness or goodwill; friendly
amorous	strongly attracted or disposed to love, especially sexual love
amorphous	lacking definite form; shapeless; of no particular type; anomalous; lacking organization; formless
amortize	to write off an expenditure for (office equipment, for example) by prorating over a certain period
amour	a love affair, especially an illicit one
analgesic	a medication that reduces or eliminates pain
anarchism	the theory or doctrine that all forms of government are oppressive and undesirable and should be abolished
anarchy	absence of any form of political authority; political disorder and confusion
ancillary	subordinate; auxiliary; helping
anecdote	a short account of an interesting or humorous incident
angst	a feeling of anxiety or apprehension often accompanied by depression
anhydrous	without water, especially water of crystallization
